month,Zoji_La,Rohtang_Pass
1,0.76,0.76
2,0.767,0.767
3,0.725,0.725
4,0.097,0.097
5,0.055,0.055
6,0.046,0.046
7,0.033,0.033
8,0.168,0.168
9,0.016,0.016
10,0.055,0.055
11,0.08,0.08
12,0.418,0.418
